代码,名称,收盘,涨跌幅,RSI,信号强度,操作建议
002055,得润电子,6.4,-5.04,32.59,中等 (观察),超卖严重且卖盘枯竭，等待MACD金叉确认后再介入。
000993,闽东电力,12.05,0.08,23.92,中等 (观察),超卖严重且卖盘枯竭，等待MACD金叉确认后再介入。
000735,罗 牛 山,8.75,0.46,29.83,中等 (观察),超卖严重且卖盘枯竭，等待MACD金叉确认后再介入。
000572,海马汽车,7.81,1.03,30.04,中等 (观察),超卖严重且卖盘枯竭，等待MACD金叉确认后再介入。
002702,海欣食品,7.1,0.42,34.22,中等 (观察),超卖严重且卖盘枯竭，等待MACD金叉确认后再介入。
603709,中源家居,16.64,0.48,15.68,中等 (观察),超卖严重且卖盘枯竭，等待MACD金叉确认后再介入。
001330,博纳影业,7.59,1.07,19.86,中等 (观察),超卖严重且卖盘枯竭，等待MACD金叉确认后再介入。
601838,成都银行,16.22,-0.12,34.0,弱 (待定),虽有回调，但动能未完全衰减，建议暂且观望。
605339,南侨食品,19.69,0.97,34.04,中等 (观察),超卖严重且卖盘枯竭，等待MACD金叉确认后再介入。
002300,太阳电缆,9.19,0.55,29.44,中等 (观察),超卖严重且卖盘枯竭，等待MACD金叉确认后再介入。
002682,龙洲股份,8.2,0.74,24.56,中等 (观察),超卖严重且卖盘枯竭，等待MACD金叉确认后再介入。
002235,安妮股份,10.31,-1.53,28.41,中等 (观察),超卖严重且卖盘枯竭，等待MACD金叉确认后再介入。
600011,华能国际,7.44,0.27,34.04,中等 (观察),超卖严重且卖盘枯竭，等待MACD金叉确认后再介入。
